query,result,role,label
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 879 rows with columns: event_id, order_id, employee_id, status, save, comment",Customer Support Representative,1
"SELECT customer_id, name FROM Customers;","Retrieved 579 rows with columns: employee_id, email, rating, review_id",Software Engineer,1
SELECT * FROM Orders WHERE status='Pending';,"273 rows found, including columns: amount, timestamp, order_date",IT Analyst,1
"SELECT employee_id, first_name, last_name FROM Employees;","661 rows returned; columns: last_name, order_id, order_date, status.",Sales Manager,1
"SELECT product_id, product_name, price FROM Products;","239 rows found, including columns: last_name, price, rating, order_date",Product Manager,1
SELECT * FROM Inventory;,"161 rows found, including columns: status, email, price, product_id, order_id",IT Specialist,1
VALUES DROP WHERE WHERE;,"356 rows found, including columns: product_id, first_name, product_name, appear, status, event_name",CEO,1
SELECT * FROM Customer_Payments WHERE amount > 9792;,"Retrieved 449 rows with columns: salary, phone, card_number",Intern,0
"SELECT product_id, product_name, price FROM Products;","Retrieved 454 rows with columns: first_name, customer_id, last_name, price, rating",Systems Administrator,1
"SELECT customer_id, name FROM Customers;","760 rows found, including columns: event_name, order_date, status",COO,1
"SELECT customer_id, name FROM Customers;","552 rows found, including columns: order_date, product_id, last_name, comment, first_name","Librarian, public",1
"SELECT product_id, product_name, price FROM Products;","543 rows found, including columns: employee_id, price, review_id, product_id",Procurement Manager,1
SELECT * FROM User_Login_History WHERE success=0;,"234 rows returned; columns: name, bonus, customer_id, expiry, salary.",Data Entry Clerk,0
"SELECT employee_id, first_name, last_name FROM Employees;","129 rows found, including columns: event_name, email, order_date, customer_id","Designer, exhibition/display",1
SELECT * FROM Orders WHERE status='Pending';,"205 rows returned; columns: customer_id, payment_id, user_id, timestamp.",Supervisor,1
require 'X' ; = VALUES VALUES );,"186 rows found, including columns: order_date, timestamp, user_id",Counsellor,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 694 rows with columns: order_id, order_date, employee_id, status",CTO,1
"SELECT customer_id, name FROM Customers;","945 rows found, including columns: comment, status, email, difficult",Marketing Specialist,1
"SELECT employee_id, first_name, last_name FROM Employees;","339 rows found, including columns: email, last_name, review_id",CTO,1
"SELECT employee_id, first_name, last_name FROM Employees;","875 rows found, including columns: email, rating, customer_id, event_name, first_name",IT trainer,1
) ) upon = VALUES WHERE WHERE;,"426 rows found, including columns: last_name, product_id, rating",Software Engineer,1
SELECT * FROM Sensitive_Logs;,"Retrieved 184 rows with columns: bonus, ip_address, card_number, address",Intern,0
UPDATE SELECT TABLE 'X' FROM = ) ;;,"113 rows found, including columns: payment_id, order_id, timestamp",Regional Manager,1
ON JOIN UPDATE FROM VALUES FROM;,"923 rows returned; columns: status, review_id, first_name, event_name, customer_id.",Legal Counsel,1
"SELECT employee_id, first_name, last_name FROM Employees;","843 rows returned; columns: rating, review_id, comment.",COO,1
SELECT * FROM Orders WHERE status='Pending';,"459 rows returned; columns: order_id, status, amount, activity, order_date.",Order Processor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","453 rows returned; columns: product_name, comment, order_id, rating.",Business Analyst,1
SELECT * FROM Inventory;,"674 rows returned; columns: email, order_date, order_id, rating, event_name.",Software Engineer,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 288 rows with columns: status, event_id, email, product_id, order_date",CEO,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","123 rows found, including columns: event_name, rating, comment, product_id",Legal Counsel,1
"SELECT employee_id, first_name, last_name FROM Employees;","865 rows found, including columns: email, rating, product_name, employee_id, price",Security Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","Retrieved 77 rows with columns: product_id, order_id, order_date, rating",Finance Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 534 rows with columns: product_name, last_name, comment",HR Manager,1
"SELECT employee_id, first_name, last_name FROM Employees;","597 rows found, including columns: status, rating, product_name, order_date, customer_id",Business Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","657 rows returned; columns: status, comment, order_id.",Operations Manager,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 540 rows with columns: order_id, status, event_name, product_id",Careers adviser,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","Retrieved 494 rows with columns: comment, event_id, status, rating",Business Analyst,1
SELECT * FROM Employee_Personal_Info;,"Retrieved 412 rows with columns: cvv, name, timestamp",HR Intern,0
SELECT * FROM Employee_Personal_Info;,"158 rows found, including columns: expiry, card_number, timestamp",Data Entry Clerk,0
SELECT * FROM Inventory;,"213 rows returned; columns: event_id, employee_id, review_id, product_id, price.",Educational psychologist,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 441 rows with columns: review_id, comment, morning, order_date, order_id, event_name",CMO,1
near DROP < building );,"466 rows returned; columns: customer_id, last_name, rating, status.",Software Engineer,1
SELECT * FROM Inventory;,"810 rows returned; columns: first_name, status, review_id, comment, last_name, do.",Auditor,1
UPDATE ON ( new WHERE TABLE;,"Retrieved 864 rows with columns: review_id, order_date, employee_id, last_name",Product Manager,1
"SELECT customer_id, name FROM Customers;","928 rows returned; columns: last_name, event_id, event_name, comment.",Accountant,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 561 rows with columns: customer_id, rating, email",CEO,1
"SELECT employee_id, first_name, last_name FROM Employees;","513 rows found, including columns: first_name, comment, price, event_name",Medical secretary,1
"SELECT customer_id, name FROM Customers;","Retrieved 852 rows with columns: first_name, product_name, email",Business Analyst,1
SELECT * FROM Customer_Payments WHERE amount > 2197;,"135 rows found, including columns: user_id, status, activity",Supervisor,1
SELECT * FROM Credit_Card_Info;,"Retrieved 146 rows with columns: bonus, phone, salary, department, address",Physiotherapist,0
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","880 rows returned; columns: order_id, product_name, order_date.",Product Manager,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 750 rows with columns: event_name, event_id, first_name",Auditor,1
"SELECT customer_id, name FROM Customers;","891 rows found, including columns: customer_id, review_id, order_date",Operations Manager,1
SELECT * FROM Customer_Payments WHERE amount > 5351;,"Retrieved 398 rows with columns: user_id, name, cvv, customer_id",Intern,0
SELECT * FROM User_Activity;,"166 rows returned; columns: customer_id, user_id, payment_id, timestamp.",Supervisor,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Manager';","230 rows returned; columns: customer_id, name, address, salary.",Junior Analyst,0
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 604 rows with columns: event_name, order_id, event_id, order_date",HR Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","645 rows returned; columns: product_id, first_name, customer_id, event_name, discover, comment.",Data Scientist,0
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","Retrieved 418 rows with columns: first_name, order_date, order_id",Business Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","Retrieved 539 rows with columns: order_date, rating, employee_id, product_name, email, require",CMO,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","754 rows found, including columns: product_name, rating, order_id",Data Scientist,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 415 rows with columns: review_id, product_name, event_id, rating",Security Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","309 rows returned; columns: last_name, product_name, product_id, email, rating.",CEO,1
( > ) WHERE;,"Retrieved 224 rows with columns: order_id, order_date, amount",Order Processor,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","258 rows found, including columns: product_id, status, order_date, customer_id, price",Finance Analyst,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 329 rows with columns: price, product_name, product_id, event_id, employee_id",Legal Counsel,1
SELECT * FROM Inventory;,"Retrieved 468 rows with columns: rating, manager, status, product_name, event_name, comment",Sales Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","206 rows returned; columns: price, rating, review_id, comment.",Auditor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","187 rows found, including columns: order_id, first_name, email, product_id, employee_id",CTO,1
"SELECT employee_id, first_name, last_name FROM Employees;","554 rows returned; columns: order_id, comment, email.",Accountant,1
SELECT * FROM Inventory;,"Retrieved 758 rows with columns: employee_id, status, email, last_name, event_id",COO,1
WHERE > SELECT term term DROP >;,"138 rows found, including columns: event_name, product_name, price, first_name",Security Analyst,1
SELECT * FROM Employee_Personal_Info;,"Retrieved 431 rows with columns: bonus, name, ip_address, card_number, department",Trainee,0
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","588 rows returned; columns: first_name, last_name, order_date, review_id, event_name.",Data Scientist,0
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 187 rows with columns: order_date, review_id, first_name","Research officer, trade union",1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","930 rows found, including columns: product_name, status, dinner, event_name, review_id, comment",Customer Support Representative,1
INSERT 'X' ( ) ; VALUES;,"619 rows returned; columns: product_id, status, review_id.",Sales Manager,1
SELECT * FROM Customer_Payments WHERE amount > 2730;,"428 rows found, including columns: activity, timestamp, amount, order_id, user_id",Supervisor,1
"SELECT customer_id, name FROM Customers;","74 rows returned; columns: comment, customer_id, order_id, event_name.",Accountant,0
SELECT * FROM Customer_Payments WHERE amount > 2871;,"229 rows found, including columns: payment_id, order_date, order_id, timestamp",IT Analyst,1
SELECT * FROM Customer_Payments WHERE amount > 2571;,"50 rows returned; columns: customer_id, activity, timestamp, user_id.",IT Analyst,1
JOIN WHERE FROM DROP < * FROM (;,"Retrieved 157 rows with columns: last_name, event_name, customer_id",Marketing Specialist,0
SELECT * FROM User_Activity;,"406 rows returned; columns: customer_id, user_id, activity, status.",Team Lead,1
SELECT * FROM Customer_Payments WHERE amount > 2746;,"488 rows found, including columns: customer_id, timestamp, activity, amount, order_date",IT Analyst,1
"SELECT product_id, product_name, price FROM Products;","932 rows returned; columns: customer_id, product_name, status, range.",Finance Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","892 rows returned; columns: rating, product_name, product_id.",COO,1
"SELECT employee_id, first_name, last_name FROM Employees;","779 rows found, including columns: order_date, last_name, price, product_name",Auditor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","408 rows found, including columns: review_id, customer_id, order_id, comment, last_name",Sales Manager,1
"SELECT customer_id, name FROM Customers;","617 rows found, including columns: employee_id, order_date, email, comment, rating",Project Manager,1
; ON DROP ; INSERT > ;;,"529 rows found, including columns: employee_id, comment, product_name",Software Engineer,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 102 rows with columns: employee_id, product_id, event_id",HR Manager,1
SELECT * FROM Sensitive_Logs;,"451 rows found, including columns: card_number, cvv, name",Junior Analyst,0
SELECT * FROM Inventory;,"328 rows returned; columns: review_id, event_name, product_id, comment, last_name.",Pensions consultant,1
SELECT * FROM Sensitive_Logs;,"177 rows returned; columns: salary, timestamp, bonus.",Careers information officer,1
image UPDATE ;;,"703 rows found, including columns: product_id, customer_id, order_date, employee_id",Accountant,1
SELECT * FROM Inventory;,"393 rows returned; columns: comment, status, order_date, first_name, review_id.",CEO,0
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","828 rows found, including columns: price, product_name, comment, order_date",CEO,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","907 rows found, including columns: event_id, product_id, price, event_name, review_id",Systems Administrator,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","341 rows returned; columns: first_name, email, order_date, order_id, last_name.",Sales Manager,1
"SELECT product_id, product_name, price FROM Products;","569 rows found, including columns: comment, review_id, price",Product Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","83 rows returned; columns: event_name, status, employee_id.",CFO,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Supervisor';","Retrieved 412 rows with columns: ip_address, phone, social_security_number",Trainee,1
"SELECT customer_id, name FROM Customers;","Retrieved 211 rows with columns: price, event_name, email, rating, event_id","Scientist, physiological",1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","Retrieved 502 rows with columns: event_id, product_id, order_date, customer_id",Software Engineer,1
SELECT * FROM Inventory;,"314 rows found, including columns: comment, employee_id, order_id, email, customer_id",Procurement Manager,1
ON * WHERE TABLE ON;,"Retrieved 80 rows with columns: product_id, email, comment, price, worry",Sales Manager,1
'X' TABLE ) TABLE DROP DROP < FROM;,"Retrieved 964 rows with columns: email, product_name, onto, product_id",CEO,1
SELECT * FROM Inventory;,"884 rows returned; columns: review_id, first_name, price.",Marketing Specialist,0
SELECT * FROM Customer_Payments WHERE amount > 2586;,"227 rows returned; columns: user_id, payment_id, activity, order_date.",Regional Manager,1
UPDATE FROM INSERT ( < VALUES =;,"651 rows returned; columns: event_name, rating, product_name.",Product Manager,1
SELECT * FROM Inventory;,"522 rows found, including columns: product_id, email, employee_id, event_id",CTO,1
SELECT * FROM Credit_Card_Info;,"Retrieved 286 rows with columns: phone, expiry, timestamp, name, social_security_number",Data Entry Clerk,0
JOIN WHERE INSERT ;;,"581 rows returned; columns: status, customer_id, amount, payment_id.",Supervisor,1
SELECT * FROM Inventory;,"Retrieved 719 rows with columns: last_name, employee_id, status, order_date",Business Analyst,1
( TABLE UPDATE * ; (;,"993 rows found, including columns: rating, status, review_id, comment",Project Manager,1
INSERT INSERT SELECT * WHERE;,"Retrieved 540 rows with columns: choose, order_date, last_name, first_name, rating",IT Specialist,1
) TABLE INSERT > INSERT INSERT;,"775 rows returned; columns: last_name, status, review_id, product_name, employee_id.",Higher education careers adviser,1
SELECT * FROM Inventory;,"255 rows returned; columns: order_date, comment, product_id.",Security Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","238 rows returned; columns: product_name, comment, event_name, customer_id, review_id.",CFO,1
SELECT * FROM Inventory;,"982 rows returned; columns: tree, email, review_id, price.",Procurement Manager,1
"SELECT customer_id, name FROM Customers;","282 rows returned; columns: last_name, order_date, product_id.",CTO,1
"SELECT product_id, product_name, price FROM Products;","998 rows found, including columns: review_id, event_id, customer_id",Operations Manager,1
SELECT * FROM Inventory;,"919 rows returned; columns: customer_id, rating, product_name, status.",CFO,1
DROP FROM INSERT INSERT =;,"459 rows found, including columns: status, customer_id, order_date",Systems Administrator,1
"SELECT product_id, product_name, price FROM Products;","578 rows found, including columns: email, event_id, customer_id",Accountant,1
SELECT * FROM User_Login_History WHERE success=0;,"394 rows found, including columns: department, expiry, suggest, timestamp, ip_address, cvv",Trainee,0
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Supervisor';","182 rows returned; columns: ip_address, timestamp, address, social_security_number.",Social worker,0
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","330 rows found, including columns: employee_id, rating, email",HR Manager,1
"SELECT product_id, product_name, price FROM Products;","937 rows found, including columns: model, product_id, last_name, review_id, comment",Accountant,1
> 'X' UPDATE );,"494 rows found, including columns: product_id, note, email, first_name, product_name, customer_id",Operations Manager,1
SELECT * FROM Credit_Card_Info;,"472 rows returned; columns: phone, ip_address, expiry.",Data Entry Clerk,0
SELECT * FROM Orders WHERE status='Pending';,"63 rows found, including columns: none, amount, status, user_id",IT Analyst,1
SELECT * FROM Inventory;,"509 rows returned; columns: status, price, product_name.",Legal Counsel,1
"SELECT customer_id, name FROM Customers;","846 rows found, including columns: event_name, bring, rating, last_name, product_name",Product Manager,1
SELECT * FROM Orders WHERE status='Pending';,"Retrieved 326 rows with columns: order_date, customer_id, order_id",Supervisor,1
SELECT * FROM Orders WHERE status='Pending';,"72 rows returned; columns: user_id, customer_id, amount.",Regional Manager,1
ON VALUES < ON;,"Retrieved 329 rows with columns: their, address, cvv, employee_id",Junior Analyst,0
"SELECT customer_id, name FROM Customers;","928 rows found, including columns: order_id, status, last_name",Business Analyst,1
SELECT INSERT JOIN < = SELECT DROP;,"Retrieved 852 rows with columns: employee_id, product_id, email, order_date, event_id",COO,0
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 413 rows with columns: status, email, first_name, chance, employee_id, review_id",Customer Support Representative,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 813 rows with columns: event_name, order_date, product_id",Product Manager,1
"SELECT customer_id, name FROM Customers;","Retrieved 214 rows with columns: product_id, public, email, price, rating, employee_id",Business Analyst,1
"SELECT product_id, product_name, price FROM Products;","59 rows found, including columns: email, employee_id, price",Software Engineer,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","103 rows returned; columns: email, customer_id, product_id, product_name, receive, status.",Pathologist,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","878 rows found, including columns: product_name, first_name, review_id, order_id, customer_id",Software Engineer,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 695 rows with columns: rating, product_id, customer_id, last_name, first_name",Security Analyst,1
< > WHERE ) 'X' WHERE;,"672 rows returned; columns: price, order_id, order_date, status.",Security Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","Retrieved 182 rows with columns: event_name, product_id, order_id, price",Marketing Specialist,1
"SELECT product_id, product_name, price FROM Products;","485 rows returned; columns: status, product_id, first_name.",Data Scientist,1
SELECT * FROM Orders WHERE status='Pending';,"492 rows found, including columns: timestamp, activity, user_id, order_id",Supervisor,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","603 rows found, including columns: product_name, comment, last_name, review_id",CFO,1
"SELECT employee_id, first_name, last_name FROM Employees;","266 rows returned; columns: status, event_id, first_name, last_name, price.",Procurement Manager,1
"SELECT product_id, product_name, price FROM Products;","407 rows returned; columns: employee_id, first_name, customer_id.",Operations Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","Retrieved 567 rows with columns: rating, order_date, comment",CTO,1
"SELECT customer_id, name FROM Customers;","201 rows returned; columns: product_name, employee_id, customer_id.",Security Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","533 rows returned; columns: comment, customer_id, last_name.",Legal Counsel,1
SELECT * FROM Employee_Personal_Info;,"50 rows found, including columns: salary, social_security_number, cvv",Trainee,0
ON ON DROP loss WHERE ) ( =;,"Retrieved 169 rows with columns: order_id, status, amount, activity, order_date",IT Analyst,1
( DROP above;,"Retrieved 126 rows with columns: email, review_id, order_date, rating, comment",Software Engineer,1
WHERE DROP * VALUES INSERT SELECT *;,"894 rows found, including columns: order_date, event_name, product_id, event_id",Operations Manager,1
WHERE DROP );,"830 rows found, including columns: comment, rating, last_name, customer_id",CEO,1
"SELECT customer_id, name FROM Customers;","Retrieved 277 rows with columns: product_name, product_id, review_id, order_id, customer_id",CTO,1
"SELECT customer_id, name FROM Customers;","568 rows returned; columns: event_name, high, product_id, email, order_id.",Business Analyst,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","974 rows found, including columns: rating, comment, customer_id, event_name, despite, product_name",Business Analyst,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","320 rows returned; columns: email, customer_id, rating, order_date, status.",IT Specialist,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 196 rows with columns: product_name, review_id, order_id, customer_id",Customer Support Representative,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","388 rows returned; columns: price, customer_id, status, comment.",Customer Support Representative,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","668 rows returned; columns: employee_id, price, dark, email, product_id, rating.",Sales Manager,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 812 rows with columns: top, product_id, event_name, order_id, first_name, status",CTO,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","895 rows returned; columns: if, order_id, employee_id, event_id.",CEO,1
DROP SELECT = JOIN < ON;,"399 rows found, including columns: price, rating, first_name",CEO,1
SELECT * FROM Customer_Payments WHERE amount > 8458;,"Retrieved 301 rows with columns: department, name, ip_address, timestamp, employee_id",Nature conservation officer,0
SELECT * FROM User_Activity;,"527 rows returned; columns: timestamp, user_id, amount.",Supervisor,1
"SELECT employee_id, first_name, last_name FROM Employees;","Retrieved 718 rows with columns: customer_id, email, review_id",Project Manager,0
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","585 rows found, including columns: event_id, comment, product_id, difference",Conference centre manager,1
SELECT * FROM Inventory;,"643 rows found, including columns: customer_id, email, product_id, energy, review_id, order_id",Marketing Specialist,1
SELECT * FROM Inventory;,"Retrieved 320 rows with columns: order_id, customer_id, event_id, comment, employee_id",Business Analyst,1
"SELECT employee_id, first_name, last_name FROM Employees;","376 rows found, including columns: event_id, status, order_date",COO,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","64 rows found, including columns: comment, product_id, email, rating, price",CTO,1
SELECT * FROM User_Activity;,"Retrieved 197 rows with columns: status, activity, order_date",Order Processor,1
SELECT * FROM Inventory;,"Retrieved 61 rows with columns: email, last_name, product_id, order_date",Accountant,1
"SELECT customer_id, name FROM Customers;","Retrieved 922 rows with columns: status, rating, email, product_name, event_name",Sales Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 900 rows with columns: rating, email, comment, employee_id, event_id",COO,0
'X' man INSERT VALUES ON TABLE;,"674 rows returned; columns: review_id, customer_id, product_name, price.",Finance Analyst,1
SELECT * FROM Inventory;,"530 rows found, including columns: review_id, event_name, product_name",Customer Support Representative,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 744 rows with columns: product_id, employee_id, status, comment, event_name",Data Scientist,1
"SELECT customer_id, name FROM Customers;","689 rows returned; columns: order_id, comment, last_name.",Product Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","483 rows returned; columns: order_date, status, review_id, rating.",IT Specialist,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 932 rows with columns: first_name, review_id, order_date, status",CMO,1
"SELECT customer_id, name FROM Customers;","652 rows returned; columns: event_id, status, comment, order_id, product_id.",Legal Counsel,1
"SELECT employee_id, first_name, last_name FROM Employees;","90 rows found, including columns: email, status, event_id",Building surveyor,1
'X' ) = VALUES FROM > INSERT;,"833 rows returned; columns: first_name, price, employee_id.",Operations Manager,1
SELECT * FROM User_Login_History WHERE success=0;,"382 rows returned; columns: user_id, timestamp, customer_id, salary.",Data Entry Clerk,0
"SELECT customer_id, name FROM Customers;","Retrieved 446 rows with columns: rating, last_name, event_id, product_name",Software Engineer,1
"SELECT product_id, product_name, price FROM Products;","72 rows found, including columns: last_name, event_name, customer_id, review_id, order_date",Sales Manager,1
SELECT * FROM Inventory;,"358 rows returned; columns: event_id, last_name, first_name, order_id.",Accountant,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","Retrieved 535 rows with columns: product_name, first_name, price, status",Finance Analyst,1
"SELECT employee_id, first_name, last_name FROM Employees;","792 rows returned; columns: customer_id, first_name, last_name, order_id, status.",Project Manager,1
"SELECT customer_id, name FROM Customers;","321 rows returned; columns: rating, status, customer_id.",Systems Administrator,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","Retrieved 80 rows with columns: status, price, order_id",Customer Support Representative,1
"SELECT employee_id, first_name, last_name FROM Employees;","105 rows returned; columns: first_name, product_name, customer_id, order_id, status.",Software Engineer,1
"SELECT product_id, product_name, price FROM Products;","324 rows found, including columns: email, customer_id, comment, status, rating",Legal Counsel,1
"SELECT product_id, product_name, price FROM Products;","892 rows returned; columns: rating, email, product_name, order_date.",Product Manager,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","Retrieved 255 rows with columns: event_id, first_name, status",Operations Manager,1
SELECT * FROM Customer_Payments WHERE amount > 2849;,"Retrieved 119 rows with columns: activity, payment_id, status, user_id",Supervisor,1
"SELECT customer_id, name FROM Customers;","Retrieved 638 rows with columns: product_id, event_id, order_date, customer_id",CMO,1
SELECT * FROM Credit_Card_Info;,"188 rows returned; columns: timestamp, department, expiry, salary, address.","Engineer, building services",0
SELECT * FROM Customer_Payments WHERE amount > 2425;,"444 rows found, including columns: amount, timestamp, customer_id, order_id",Regional Manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 4;","474 rows found, including columns: authority, order_date, employee_id, last_name, event_id",CFO,1
"SELECT employee_id, first_name, last_name FROM Employees;","690 rows returned; columns: email, task, rating, product_id, order_date.",Customer Support Representative,1
SELECT * FROM Inventory;,"278 rows returned; columns: event_id, first_name, email, product_name, order_id.",COO,1
"SELECT employee_id, first_name, last_name FROM Employees;","941 rows found, including columns: last_name, status, order_id",Publishing rights manager,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 5;","207 rows returned; columns: senior, order_id, customer_id, status.",Business Analyst,1
> ( JOIN INSERT ;;,"Retrieved 43 rows with columns: timestamp, order_date, amount, user_id",IT Analyst,1
"SELECT customer_id, name FROM Customers;","896 rows found, including columns: review_id, customer_id, product_id, last_name",Musician,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 917 rows with columns: first_name, status, event_name, product_name",Legal Counsel,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Supervisor';","145 rows found, including columns: customer_id, bonus, department, social_security_number, cvv",HR Intern,0
SELECT * FROM Inventory;,"104 rows returned; columns: order_id, first_name, email, rating.",HR Manager,1
SELECT * FROM Inventory;,"748 rows returned; columns: last_name, price, customer_id, event_id.",Customer Support Representative,1
SELECT * FROM Credit_Card_Info;,"Retrieved 68 rows with columns: name, cvv, department, employee_id",Trainee,0
TABLE JOIN > WHERE ON < VALUES INSERT;,"Retrieved 167 rows with columns: name, window, employee_id, department, cvv",Trainee,0
SELECT * FROM Inventory;,"310 rows returned; columns: employee_id, rating, product_name, community, order_id.",Software Engineer,1
SELECT * FROM Inventory;,"Retrieved 874 rows with columns: status, product_id, employee_id, event_id, last_name",CTO,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","790 rows returned; columns: rating, order_date, last_name, customer_id.",Dentist,1
SELECT * FROM Inventory;,"906 rows returned; columns: event_id, email, product_id, employee_id, status.",CMO,1
( < group TABLE INSERT >;,"362 rows returned; columns: customer_id, review_id, event_name.",IT Specialist,1
SELECT * FROM Customer_Payments WHERE amount > 2712;,"273 rows found, including columns: user_id, order_id, customer_id, order_date",Regional Manager,1
SELECT * FROM Orders WHERE status='Pending';,"438 rows returned; columns: customer_id, amount, status, timestamp.",Supervisor,1
"SELECT order_id, order_date FROM Orders WHERE status='Completed';","167 rows returned; columns: order_date, email, last_name, comment, first_name.",Operations Manager,1
SELECT * FROM Inventory;,"729 rows found, including columns: status, last_name, event_id",Operations Manager,1
SELECT * FROM Inventory;,"Retrieved 205 rows with columns: customer_id, employee_id, status, last_name, email",HR Manager,1
SELECT * FROM Inventory;,"284 rows returned; columns: inside, price, product_id, event_name.",Software Engineer,1
"SELECT customer_id, name FROM Customers;","Retrieved 132 rows with columns: status, rating, customer_id, product_id",CTO,1
"SELECT review_id, product_id, rating, comment FROM Product_Reviews WHERE rating >= 3;","Retrieved 746 rows with columns: status, event_id, customer_id, price",Auditor,1
"SELECT salary, bonus FROM Employee_Salaries WHERE role='Director';","347 rows returned; columns: social_security_number, customer_id, user_id, card_number, name.",Data Entry Clerk,0
SELECT * FROM Inventory;,"Retrieved 772 rows with columns: rating, product_id, first_name, order_id",Product Manager,1
"SELECT product_id, product_name, price FROM Products;","Retrieved 807 rows with columns: event_name, price, rating, first_name",Project Manager,1
